"","Country.Name","SE.XPD.TOTL.GD.ZS_2010","SE.PRM.ENRR.FE_2010","SE.ENR.PRIM.FM.ZS_2010","SE.PRM.UNER_2010","SE.XPD.TOTL.GD.ZS_2011","SE.PRM.ENRR.FE_2011","SE.ENR.PRIM.FM.ZS_2011","SE.PRM.UNER_2011","SE.XPD.TOTL.GD.ZS_2012","SE.PRM.ENRR.FE_2012","SE.ENR.PRIM.FM.ZS_2012","SE.PRM.UNER_2012","SE.XPD.TOTL.GD.ZS_2013","SE.PRM.ENRR.FE_2013","SE.ENR.PRIM.FM.ZS_2013","SE.PRM.UNER_2013","SE.XPD.TOTL.GD.ZS_2014","SE.PRM.ENRR.FE_2014","SE.ENR.PRIM.FM.ZS_2014","SE.PRM.UNER_2014","SE.XPD.TOTL.GD.ZS_2015","SE.PRM.ENRR.FE_2015","SE.ENR.PRIM.FM.ZS_2015","SE.PRM.UNER_2015","SE.XPD.TOTL.GD.ZS_2016","SE.PRM.ENRR.FE_2016","SE.ENR.PRIM.FM.ZS_2016","SE.PRM.UNER_2016","SE.XPD.TOTL.GD.ZS_2017","SE.PRM.ENRR.FE_2017","SE.ENR.PRIM.FM.ZS_2017","SE.PRM.UNER_2017","SE.XPD.TOTL.GD.ZS_2018","SE.PRM.ENRR.FE_2018","SE.ENR.PRIM.FM.ZS_2018","SE.PRM.UNER_2018","SE.XPD.TOTL.GD.ZS_2019","SE.PRM.ENRR.FE_2019","SE.ENR.PRIM.FM.ZS_2019","SE.PRM.UNER_2019"
"15","Bahamas, The",NA,88.00042,0.97931,7390,NA,93.52548,0.97879,4371,NA,88.17143,0.97294,6347,NA,81.2956,0.97247,8729,NA,82.33325,0.97952,8422,NA,85.06866,0.97338,6982,NA,81.7346,1.00666,8399,NA,NA,NA,NA,NA,81.15878,0.99507,8533,NA,NA,NA,NA
"16","Bahrain",NA,NA,NA,NA,NA,95.7298,1.01779,7477,2.64531,95.77789,1.00892,6848,2.47689,98.50305,1.01669,5702,2.46746,100.35145,1.01229,3777,2.66808,101.70948,1.00991,1408,NA,102.16062,1.02083,1350,2.32781,100.99798,0.9958,585,NA,98.75316,0.98787,1188,NA,97.73763,0.99417,2770
"17","Bangladesh",NA,109.25345,1.06251,803773,2.1327,NA,NA,NA,2.1755,NA,NA,NA,1.96616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53554,NA,NA,NA,NA,119.05796,1.07176,NA,NA,120.75175,1.07471,NA,1.32632,NA,NA,NA
"18","Barbados",6.0544,100.39665,1.01582,500,NA,98.32091,1.00073,981,5.26274,NA,NA,NA,5.14899,NA,NA,NA,6.1435,95.40845,1.00442,1449,NA,95.57431,0.99302,905,4.95139,97.16936,0.99771,418,4.36638,96.00156,0.96503,719,NA,97.46608,0.96328,328,NA,98.15725,0.95805,212
"19","Belarus",5.22004,104.25981,0.99795,2298,4.68479,102.06472,0.99883,2463,4.95964,99.84607,1.00062,2022,5.00942,98.30365,1.00191,6252,4.81831,98.46263,1.00314,7716,4.78752,99.22947,1.00156,5885,4.94655,101.22424,1.00284,2107,4.79499,101.67542,0.99448,3556,NA,100.38261,0.99773,5544,NA,NA,NA,NA
"20","Belgium",6.44259,101.80219,0.99766,11467,6.43199,101.84109,0.99797,10445,NA,102.03899,0.99586,8491,6.63053,103.89094,1.0013,8887,6.59047,103.63292,0.99971,9806,6.45157,103.06613,0.9983,7403,6.45954,103.25745,0.99886,5451,6.41228,103.9583,1.00099,2164,NA,103.60319,1.00478,4131,NA,NA,NA,NA
"21","Belize",6.71981,110.31811,0.96103,815,NA,108.94403,0.95712,1048,NA,111.82892,0.96648,115,6.42536,109.41333,0.956,436,6.61473,108.85525,0.95336,293,6.88889,110.18898,0.95398,190,7.28477,111.62242,0.95204,240,7.50989,110.36801,0.95157,148,7.56149,108.73155,0.9492,302,NA,108.59159,0.96679,221
"22","Benin",3.67997,113.18227,0.89164,75552,NA,115.83195,0.8949,77060,3.56202,120.94827,0.90724,67812,3.32751,122.963,0.91521,NA,3.16179,124.42811,0.92427,59910,3.17298,127.615,0.93024,NA,2.8991,126.53536,0.93627,NA,3.53559,122.3356,0.93503,52739,2.93397,117.95891,0.93733,50858,NA,112.39728,0.92968,120970
"23","Bermuda",2.64421,NA,NA,NA,NA,97.55535,0.98386,164,NA,95.58685,0.96771,315,NA,95.41109,0.97206,NA,1.78285,96.54165,0.96997,NA,1.6986,100.19871,0.98176,NA,NA,NA,NA,NA,1.50039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Bhutan",4.12473,109.44818,1.02275,12718,4.76523,111.66232,1.01408,11078,NA,112.7385,1.01488,8424,5.72275,107.47085,1.00978,8830,6.0449,106.22304,1.01405,NA,7.5901,104.80431,1.01085,9398,6.99333,102.90592,1.00472,9687,7.22574,101.26469,0.99865,9574,6.85084,100.22383,1.00166,7456,NA,NA,NA,NA
