"","Country.Name","SE.XPD.TOTL.GD.ZS_2010","SE.PRM.ENRR.FE_2010","SE.ENR.PRIM.FM.ZS_2010","SE.PRM.UNER_2010","SE.XPD.TOTL.GD.ZS_2011","SE.PRM.ENRR.FE_2011","SE.ENR.PRIM.FM.ZS_2011","SE.PRM.UNER_2011","SE.XPD.TOTL.GD.ZS_2012","SE.PRM.ENRR.FE_2012","SE.ENR.PRIM.FM.ZS_2012","SE.PRM.UNER_2012","SE.XPD.TOTL.GD.ZS_2013","SE.PRM.ENRR.FE_2013","SE.ENR.PRIM.FM.ZS_2013","SE.PRM.UNER_2013","SE.XPD.TOTL.GD.ZS_2014","SE.PRM.ENRR.FE_2014","SE.ENR.PRIM.FM.ZS_2014","SE.PRM.UNER_2014","SE.XPD.TOTL.GD.ZS_2015","SE.PRM.ENRR.FE_2015","SE.ENR.PRIM.FM.ZS_2015","SE.PRM.UNER_2015","SE.XPD.TOTL.GD.ZS_2016","SE.PRM.ENRR.FE_2016","SE.ENR.PRIM.FM.ZS_2016","SE.PRM.UNER_2016","SE.XPD.TOTL.GD.ZS_2017","SE.PRM.ENRR.FE_2017","SE.ENR.PRIM.FM.ZS_2017","SE.PRM.UNER_2017","SE.XPD.TOTL.GD.ZS_2018","SE.PRM.ENRR.FE_2018","SE.ENR.PRIM.FM.ZS_2018","SE.PRM.UNER_2018","SE.XPD.TOTL.GD.ZS_2019","SE.PRM.ENRR.FE_2019","SE.ENR.PRIM.FM.ZS_2019","SE.PRM.UNER_2019"
"55","Cyprus",6.5428,101.63377,1.00018,19,6.53854,100.79486,0.99221,82,NA,100.05692,0.9977,710,6.48378,99.87841,1.00227,973,6.4485,99.58708,1.00852,1217,6.34636,99.29021,0.99981,758,6.1638,98.72413,1.00354,961,5.77719,99.36173,1.00108,754,NA,99.34234,0.99115,329,NA,NA,NA,NA
"56","Czech Republic",4.06446,103.59071,0.996,16,4.27214,100.47488,0.99449,3219,4.25086,99.32076,0.99908,2076,4.09089,98.77562,1.00067,5048,3.99462,98.67689,1.00017,3511,5.78885,99.69926,1.00358,1026,5.58738,100.49187,1.00552,1840,3.85402,100.95971,1.0056,1847,NA,100.81886,1.00602,2386,NA,NA,NA,NA
"57","Denmark",8.55955,99.68572,1.00204,4875,8.48486,100.47503,0.99409,4182,7.23782,100.89399,0.99111,2629,8.49443,101.00692,0.98968,1172,7.63485,100.70018,0.9886,2315,NA,100.76162,0.98671,275,NA,101.19146,0.98831,47,7.81608,100.93354,0.99359,944,NA,100.46653,0.99889,2813,NA,NA,NA,NA
"58","Djibouti",4.49022,NA,NA,NA,NA,69.28321,1.07869,37863,NA,72.36631,1.07973,NA,NA,71.78188,1.06331,37538,NA,72.9942,1.05233,29421,3.59024,72.83492,1.07193,35253,3.92439,71.88542,1.0673,37933,3.74856,71.9182,1.06238,35576,3.62774,71.18781,1.02351,33948,NA,75.11438,0.9957,30090
"59","Dominica",NA,101.84143,0.98288,NA,NA,107.99784,0.99417,88,NA,112.82782,0.97949,NA,NA,113.75409,0.98399,NA,NA,116.39496,1.00503,NA,3.40858,115.24678,0.98417,NA,NA,113.15034,0.97337,61,NA,NA,NA,NA,NA,NA,NA,NA,5.57345,98.70346,0.96776,228
"60","Dominican Republic",NA,103.41371,0.88124,54305,NA,104.31606,0.90545,56059,NA,102.4151,0.90383,70495,NA,103.77348,0.90808,73041,NA,102.2051,0.9066,93781,NA,106.21861,0.91242,52389,NA,105.81693,0.92314,53438,NA,103.96925,0.93251,61774,NA,102.47112,0.94176,65825,NA,109.43024,0.95223,45804
"61","Early-demographic dividend",NA,105.93799,0.99647,23721132,NA,106.25407,1.00019,24066776,NA,107.01172,1.00033,22314635,NA,108.97238,1.03033,20035565,NA,107.55848,1.02546,19576765,NA,107.82296,1.02568,19924428,NA,111.20213,1.04224,19423938,NA,109.83993,1.03644,19178322,NA,101.37502,0.98814,19584120,NA,101.33099,0.98817,19680314
"62","East Asia & Pacific",3.639499903,101.5117,0.9925,6504966,4.125804901,101.92427,0.99456,6165323,4.577460051,102.39311,0.99191,6063459,4.526404858,102.14612,0.99469,6385141,4.714849949,100.15152,0.99481,6219605,NA,100.23131,0.9931,6060627,NA,101.10995,0.99569,6231961,NA,101.73821,0.99693,5999393,NA,101.95658,0.99782,5953998,NA,103.34092,0.99752,6208333
"63","East Asia & Pacific (excluding high income)",4.076770067,101.45744,0.99179,6157825,4.60902977,101.88773,0.99396,5827165,4.865950108,102.43627,0.9912,5685627,4.53144002,102.24686,0.99424,5996836,NA,100.12212,0.99433,5870216,NA,100.27404,0.9925,5803268,NA,101.27043,0.99529,5927766,NA,101.96656,0.99667,5686941,NA,102.18127,0.99765,5663798,NA,103.41218,0.99723,5927426
"64","East Asia & Pacific (IDA & IBRD countries)",NA,101.48876,0.99176,6106183,NA,101.93502,0.99397,5758947,NA,102.50002,0.99121,5601255,NA,102.31916,0.99429,5896965,NA,100.19948,0.99438,5726277,NA,100.36376,0.99254,5642653,NA,101.38017,0.99535,5752094,NA,102.09187,0.99674,5496737,NA,102.31677,0.99773,5458759,NA,103.55719,0.9973,5724946
"65","Ecuador",4.50743,113.21941,1.00241,14251,4.72689,114.36654,1.00428,16225,4.64307,112.72615,1.00785,22018,5.00464,111.63215,1.00463,19637,5.26099,113.06673,1.00327,19364,4.9987,107.93711,1.00462,18294,NA,105.4088,1.00888,19917,NA,104.16268,1.01194,21217,NA,104.12743,1.01642,24550,NA,NA,NA,NA
"66","Egypt, Arab Rep.",NA,100.73978,0.97102,232505,NA,96.82499,0.95477,399760,NA,104.06121,0.98676,93461,NA,104.62894,0.99144,NA,NA,103.71776,0.99713,44389,NA,NA,NA,NA,NA,105.43012,1.00067,57267,NA,106.27984,1.00268,63338,NA,106.49911,1.00392,77552,NA,106.85143,1.00809,90674
"67","El Salvador",4.04807,112.25973,0.95479,NA,3.8985,111.37353,0.95319,NA,3.71247,109.57779,0.95209,NA,3.80149,107.03049,0.95352,NA,3.82416,103.93379,0.95772,50020,3.90988,100.42776,0.95835,64815,3.82524,97.77417,0.96099,74263,3.72523,94.4722,0.96637,102738,3.59242,93.26777,0.9683,95746,NA,NA,NA,NA
"68","Equatorial Guinea",NA,68.9304,0.98721,67334,NA,67.8272,0.9967,68909,NA,68.96216,0.99481,70017,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.58919,0.99409,83611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Eritrea",NA,76.91639,0.85265,117798,NA,78.62071,0.84012,114587,NA,79.69206,0.84254,113594,NA,94.32261,1.04512,144901,NA,73.43309,0.85368,162329,NA,70.39866,0.86172,186394,NA,NA,NA,NA,NA,63.19859,0.85945,238210,NA,63.07898,0.85746,241988,NA,NA,NA,NA
"70","Estonia",5.47338,102.24125,0.98516,404,4.96992,101.57171,0.99728,18,4.68269,100.82386,0.99748,34,4.81267,99.2785,0.99434,947,5.36708,97.7037,0.99398,1598,5.10685,97.14974,1.00007,2012,5.17054,97.1917,1.00148,2244,4.97338,97.25396,1.00048,2142,NA,97.7984,1.0026,1946,NA,NA,NA,NA
"71","Eswatini",6.11837,118.84358,0.90746,23434,6.86433,116.92562,0.88533,13336,NA,117.38054,0.90337,22581,NA,115.72332,0.9029,30229,7.07032,114.84558,0.90716,29136,NA,113.52822,0.90907,31776,NA,111.79143,0.91816,31985,NA,110.34846,0.92021,35890,NA,110.05198,0.92264,33794,NA,NA,NA,NA
"72","Ethiopia",4.49659,88.01612,0.92439,3811908,5.48576,90.36852,0.92113,3293817,5.56678,90.71758,0.92815,3113007,4.49855,NA,NA,NA,4.60202,94.96896,0.91799,2194044,4.73792,96.0853,0.90851,2306559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Euro area",5.541399956,102.85994,0.99058,196064,5.31856513,102.75836,0.99228,160579,5.461319923,102.49703,0.9947,181012,5.376790047,102.95793,0.99694,202579,5.281619787,102.23052,0.99722,264100,NA,102.28719,0.99795,216592,NA,102.10309,0.99962,184999,NA,102.41336,0.99558,211827,NA,102.39953,0.99601,242502,NA,102.4511,0.99693,241279
"74","Europe & Central Asia",5.259534836,101.18562,0.993,1152455,4.993620157,101.42266,0.99483,1099530,4.933310032,101.42973,0.9956,1118742,5.040480137,102.98183,0.9982,975119,5.123250008,101.94232,0.99918,1104627,NA,101.22869,0.99924,999914,NA,101.17104,0.99936,991113,NA,100.47945,0.99651,1002206,NA,100.61621,0.99536,1076065,NA,100.58048,0.99613,1111526
"75","Europe & Central Asia (excluding high income)",NA,99.83124,0.99467,727673,4.046530008,100.41123,0.99641,707049,3.903880119,99.9329,0.99509,728938,NA,102.48982,0.99788,609032,NA,101.81838,0.99993,670300,NA,100.18046,0.99953,610786,NA,100.41262,0.99887,605438,NA,98.66758,0.99632,565627,NA,99.36015,0.99399,588631,NA,99.24105,0.99494,627142
"76","Europe & Central Asia (IDA & IBRD countries)",NA,99.37839,0.99405,868911,NA,99.99802,0.99589,845888,NA,99.84003,0.99526,853100,NA,101.91633,0.99762,740037,NA,101.20486,0.99944,816418,NA,99.66625,0.99924,766306,NA,99.75282,0.99878,777955,NA,98.16853,0.99639,754180,NA,98.5301,0.99347,777820,NA,98.44977,0.99427,814324
"77","European Union",5.402890205,102.25827,0.99162,419350,5.120269775,102.20126,0.99356,388999,4.946400166,102.5369,0.99576,392888,5.296815157,103.32105,0.99837,375755,5.268799782,101.99248,0.99859,448090,NA,101.89843,0.99903,409188,NA,101.59125,0.99978,414718,NA,101.65608,0.99662,470182,NA,101.37618,0.99632,527053,NA,101.42613,0.99696,523716
"78","Faroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Fiji",NA,NA,NA,NA,4.17306,105.51958,0.99689,736,NA,106.70568,1.00161,892,3.88289,107.80529,0.99976,844,NA,NA,NA,NA,NA,105.49171,0.97788,900,NA,105.2167,0.97785,576,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.20406,0.9628,NA
"80","Finland",6.50445,99.14784,0.99344,4931,6.44505,99.34832,0.99205,4015,7.14804,99.90839,0.9916,2196,7.12404,99.95288,0.9924,2407,7.10237,100.40415,0.9958,1356,7.03208,100.25984,0.99416,2192,6.85153,100.19064,0.99556,2612,6.37621,99.89141,0.99487,4187,NA,99.93277,0.9947,4885,NA,NA,NA,NA
"81","Fragile and conflict affected situations",NA,85.48874,0.87734,25776348,NA,88.33539,0.88759,24841483,NA,90.99813,0.90288,24664034,NA,91.32417,0.90763,25462855,NA,90.87056,0.91183,25734985,NA,89.54395,0.92033,26730009,NA,89.53639,0.91258,26922411,NA,89.63415,0.91037,27025311,NA,89.8083,0.90831,27622087,NA,89.73664,0.90928,27958326
"82","France",NA,102.12854,0.98803,51322,NA,102.45629,0.99554,9824,NA,102.49238,0.99941,14993,NA,102.13431,0.99729,23622,NA,101.0311,0.9952,56322,NA,101.66452,0.99378,21490,NA,101.97262,0.99451,7005,5.4516,102.10581,0.99407,2457,NA,102.58856,0.99458,1763,NA,NA,NA,NA
"83","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Gabon",3.07809,NA,NA,NA,2.98746,137.68581,0.96861,NA,3.0134,NA,NA,NA,3.02971,NA,NA,NA,2.66667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Gambia, The",2.56322,80.83389,1.02645,92158,2.50117,79.40871,1.03847,95869,2.63757,83.00192,1.04501,89323,1.81839,84.78002,1.04389,92410,2.23094,89.10555,1.05557,95642,2.16003,93.01692,1.06765,78511,2.02443,95.40293,1.07557,74977,NA,99.07141,1.08312,68730,2.4203,102.46346,1.0942,65020,NA,106.93159,1.10831,54332
"86","Georgia",NA,104.11761,1.01421,NA,2.57614,104.86582,1.01078,6588,1.9061,105.814,0.99133,3297,NA,105.81874,0.98988,1192,NA,103.77055,0.99094,1872,NA,102.83486,1.0015,738,3.59387,100.51843,1.0033,5946,3.57443,100.92728,1.01081,2277,3.52106,99.22566,1.01153,2434,NA,99.69997,1.00773,1998
"87","Germany",4.94368,102.69517,0.99432,70080,4.82487,102.11483,0.99332,71525,4.95658,101.47709,0.99737,95234,4.96111,100.55736,0.99459,102890,4.93962,100.35925,0.99653,92141,4.83498,101.60096,0.99873,52589,4.84022,102.6915,1.00026,14502,4.90512,104.1598,1.00257,15035,NA,104.27981,1.00722,19808,NA,NA,NA,NA
"88","Ghana",5.5406,NA,NA,NA,8.14097,102.477,0.99065,298913,7.91914,106.58333,0.99808,334382,4.6071,106.06135,0.99927,NA,4.49182,104.55587,0.99941,NA,4.51089,108.31824,0.99964,NA,4.48683,107.39577,1.01234,NA,3.61798,106.05085,1.0101,90704,3.98944,104.20701,1.01216,153986,NA,105.57795,1.01386,35432
"89","Gibraltar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.80882,0.99394,8,NA,103.72301,1.0034,NA,NA,NA,NA,NA,NA,108.93812,1.02162,NA
"90","Global Partnership for Education",NA,94.15613,0.92953,44236571,NA,95.85022,0.9368,43347735,NA,97.22672,0.9474,43316649,NA,97.49419,0.94873,41781652,NA,97.68311,0.94943,41209715,NA,96.84179,0.95317,43417627,NA,97.40165,0.94968,42523863,NA,97.38231,0.94937,42804341,NA,97.90129,0.94606,42558019,NA,98.44518,0.94869,42470609
"91","Greece",NA,97.35484,0.97713,19065,NA,97.26552,0.97973,18008,NA,98.16421,0.98042,14567,NA,98.04188,0.98269,13271,NA,97.27929,0.98818,18984,NA,99.06667,0.99104,14097,NA,99.06119,0.99577,9878,NA,99.56859,1.00029,8147,NA,99.54217,1.00344,9246,NA,NA,NA,NA
"92","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Grenada",NA,113.87876,0.95628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.66667,0.95633,NA,NA,117.46416,0.98171,NA,NA,116.34981,0.96442,NA,NA,110.70803,0.96948,NA,3.1738,108.66678,0.95256,NA,NA,105.998,0.98459,94,NA,NA,NA,NA
"94","Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Guatemala",2.80306,114.28121,0.97972,NA,2.92014,112.69492,0.984,104773,2.95786,107.65779,0.97829,176041,2.88809,104.50327,0.97242,231566,2.98562,101.01464,0.97053,276594,3.03033,99.8779,0.96894,282536,2.94474,99.12477,0.96774,296224,2.95182,99.61362,0.96986,271393,3.14093,100.54267,0.9742,246375,3.2122,100.72252,0.97812,248887
"96","Guinea",2.55119,76.02468,0.82328,505386,2.28742,80.25109,0.85185,445635,1.83371,81.51326,0.84215,463108,2.63421,83.32955,0.84297,439667,2.42281,84.98477,0.84614,381963,2.51714,NA,NA,NA,2.54456,82.36128,0.81931,425413,2.31765,NA,NA,NA,2.31594,NA,NA,NA,NA,NA,NA,NA
"97","Guinea-Bissau",1.86082,114.46146,0.93111,64225,1.85786,NA,NA,NA,2.00106,NA,NA,NA,2.13249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Guyana",3.63855,95.02513,0.97027,3765,3.59204,97.08761,0.96229,1800,3.18242,96.01876,0.96393,1732,NA,NA,NA,NA,5.84796,NA,NA,NA,5.21483,NA,NA,NA,6.061,NA,NA,NA,6.23007,NA,NA,NA,5.49358,NA,NA,NA,NA,NA,NA,NA
"99","Haiti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.02452,NA,NA,NA,3.15723,NA,NA,NA,2.44959,NA,NA,NA,2.68945,NA,NA,NA,2.78047,NA,NA,NA,NA,NA,NA,NA
"100","Heavily indebted poor countries (HIPC)",3.938960075,95.03879,0.91722,23356264,3.925139904,95.37742,0.92284,22615533,4.077355146,96.83837,0.92752,22141144,4.523084879,97.31629,0.93207,21408173,NA,98.09436,0.93375,21237042,NA,97.82667,0.94174,21988967,NA,98.31638,0.94361,21659114,NA,98.55029,0.94292,21543236,NA,98.94514,0.94062,21743595,NA,99.56371,0.94317,21554618
"101","High income",5.411450148,101.5363,0.99316,1606175,5.120269775,101.4592,0.99853,1902486,4.946400166,101.33679,0.99389,1615768,5.040480137,101.86107,0.99591,1627495,5.123250008,101.61224,0.99732,1560194,NA,101.53864,1.00107,1293940,NA,101.21674,0.99882,1033621,NA,101.06247,0.99668,1171855,NA,100.95433,0.99879,1260048,NA,101.59504,1.00011,1295773
"102","Honduras",NA,100.68449,1.0005,158684,NA,99.54605,0.99804,155569,NA,96.34248,0.99627,196726,5.87493,93.43671,0.99137,233345,7.09012,91.24583,0.98524,241802,6.41297,92.51112,0.99439,249992,NA,92.37048,0.99548,232938,NA,91.50589,0.99938,214406,6.06746,NA,NA,NA,NA,91.48806,1.00072,151457
"103","Hong Kong SAR, China",3.51003,NA,NA,NA,3.41822,NA,NA,NA,3.50961,104.04721,1.00234,1420,3.76032,106.634,1.00252,1462,3.57255,109.81981,1.00891,2109,3.26212,111.23752,1.01762,3277,3.29265,109.83429,1.03004,5643,3.3101,110.07818,1.04121,7432,3.32652,111.15675,1.04478,8187,3.81058,112.12076,1.04911,NA
"104","Hungary",4.76121,100.51965,0.99353,6536,4.59011,99.77336,0.99531,9545,4.16386,99.4178,0.99455,11670,4.19773,99.58442,0.99224,12385,4.61743,101.49247,0.99306,11716,4.51866,102.15653,0.9968,11069,4.65539,101.75031,0.99754,8646,4.6671,100.50428,0.99419,9986,NA,96.40999,0.99296,17172,NA,NA,NA,NA
"105","IBRD only",NA,105.80953,0.99445,14667526,NA,105.80987,0.99451,15482392,NA,106.68673,0.99725,13824052,NA,108.01081,1.0251,13279190,NA,105.93991,1.02538,13526335,NA,106.03922,1.02592,12922665,NA,109.19618,1.04312,13248781,NA,108.53566,1.0383,12950789,NA,101.66972,0.99951,13788259,NA,102.09774,0.99848,14149037
"106","Iceland",6.97848,99.63761,1.00654,207,6.81823,98.98411,1.00345,358,7.59636,98.41895,1.00409,524,7.49122,97.78287,0.99334,564,7.68858,97.70069,0.99037,537,7.51291,98.57701,0.99904,408,7.49521,99.48309,0.999,143,7.65822,100.34877,0.99995,15,NA,100.31304,0.99755,19,NA,NA,NA,NA
"107","IDA & IBRD total",NA,101.82186,0.97232,58882084,NA,102.3561,0.97444,58810953,NA,103.35374,0.97908,57135388,NA,104.14979,0.99798,55557840,NA,102.78987,0.99785,55393750,NA,102.52309,0.9993,56982260,NA,104.69312,1.00871,56345504,NA,104.25189,1.00517,56288664,NA,100.06301,0.97893,56853451,NA,100.47767,0.97914,57110201
"108","IDA blend",NA,85.31472,0.90506,18067459,NA,87.35081,0.91996,18316536,NA,89.63985,0.94386,18703195,NA,90.12123,0.94468,18035784,NA,89.81504,0.9417,17538141,NA,87.86445,0.9374,18947587,NA,88.97309,0.92309,18295119,NA,88.67846,0.92673,18660085,NA,89.0916,0.91948,18591066,NA,89.72709,0.92446,18567758
"109","IDA only",NA,98.12622,0.93818,26147099,NA,99.70683,0.94221,25012025,NA,100.64159,0.9452,24608140,NA,100.26488,0.94817,24242866,NA,100.49779,0.94991,24329274,NA,100.19816,0.95688,25112009,NA,100.46675,0.95783,24801604,NA,100.69142,0.95552,24677790,NA,101.23321,0.95372,24474126,NA,101.59071,0.95556,24393406
"110","IDA total",NA,94.08831,0.92904,44228569,NA,95.8083,0.93632,43341837,NA,97.15948,0.94549,43325304,NA,97.04028,0.94775,42299189,NA,97.09625,0.94807,41888508,NA,96.25733,0.95172,44078608,NA,96.78537,0.94779,43111192,NA,96.83146,0.94738,43353515,NA,97.32112,0.94385,43081297,NA,97.74542,0.94657,42979483
"111","India",3.37769,110.69512,1.02797,4922041,3.79618,110.31036,1.03525,5445603,3.8675,111.97443,1.03883,3838679,3.84467,117.12038,1.11811,2887748,NA,114.01876,1.11393,NA,NA,114.78057,1.11618,NA,NA,123.55514,1.16104,NA,NA,121.12737,1.14725,NA,NA,NA,NA,NA,NA,97.81434,1.01958,NA
"112","Indonesia",2.81228,110.95218,1.03271,763385,3.18944,111.18228,1.03633,890102,3.40748,109.11019,0.9971,1141798,3.35904,106.65439,0.9966,1767974,3.28801,104.71402,0.9754,1919777,3.5836,104.40838,0.97193,NA,NA,103.90809,0.96915,1778716,NA,104.17947,0.96869,1402639,NA,104.58971,0.96723,1555014,NA,NA,NA,NA
"113","Iran, Islamic Rep.",3.70918,99.56544,0.97901,187633,3.48497,99.64402,0.97903,180715,3.16859,100.40758,0.97984,111986,3.06795,115.9077,1.01442,81693,2.80135,110.25691,1.05038,25748,2.79739,112.2737,1.06232,16263,3.36576,115.06075,1.06938,15497,3.7904,113.88066,1.05748,16911,3.95536,NA,NA,NA,NA,NA,NA,NA
"114","Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Ireland",6.03804,103.27957,1.00083,981,5.85826,103.31994,0.99889,621,5.76573,102.12337,1.0001,294,5.33461,101.76779,0.99635,376,4.88139,101.32018,0.99573,197,3.75829,100.97736,0.996,263,3.71973,101.04296,0.99426,64,3.50686,100.69429,0.99693,159,NA,100.77047,0.99493,10,NA,NA,NA,NA
"116","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Israel",5.53535,105.68418,1.0044,587,5.56688,106.46483,1.00479,570,5.69981,107.07423,1.00476,360,5.88489,105.79141,1.00287,123,5.79265,105.38904,1.00386,798,5.8673,105.98401,1.00666,828,5.85713,105.23885,1.00916,2754,6.09262,105.38438,1.00901,2210,NA,105.15828,1.00878,2791,NA,NA,NA,NA
"118","Italy",4.33412,102.48697,0.99047,11182,4.11568,101.89836,0.98856,13259,4.05602,100.88141,0.99215,7300,4.14367,101.64369,0.99517,3241,4.06128,100.89376,0.99506,23760,4.07363,100.16474,0.99571,42103,3.81579,99.42758,1.00004,58288,4.04494,100.28256,0.96999,71841,NA,99.52189,0.96739,89218,NA,NA,NA,NA
"119","Jamaica",6.3706,NA,NA,NA,6.26664,NA,NA,NA,6.11246,NA,NA,NA,6.25108,NA,NA,NA,6.01654,NA,NA,NA,5.45577,94.52316,1.05793,33441,5.31508,90.19674,0.9853,37054,5.26062,89.03344,0.98402,38036,5.41478,88.88196,0.95526,42794,5.16919,84.12385,0.97849,46930
"120","Japan",3.6395,NA,NA,NA,3.64258,NA,NA,NA,3.69226,NA,NA,NA,3.66538,NA,NA,NA,3.59059,NA,NA,NA,NA,NA,NA,NA,3.18618,NA,NA,NA,3.18218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Jordan",NA,81.1095,0.98085,192312,NA,78.41475,0.97741,227861,NA,75.29848,0.96983,272581,NA,74.58635,0.97897,293678,NA,79.06508,0.98928,NA,NA,NA,NA,NA,3.51412,77.92795,0.98421,309021,3.28405,80.01557,0.98168,271105,3.03435,80.70693,0.98193,264821,3.07253,81.10333,0.98335,261790
"122","Kazakhstan",NA,109.05179,1.00522,3203,NA,110.0797,1.00549,3727,NA,110.66587,1.00473,2357,NA,112.05372,1.0028,2428,NA,112.57945,1.00078,1070,2.78858,111.74184,1.00178,298,2.9781,110.0342,1.00264,2263,2.75082,109.66912,1.0166,10277,2.61595,106.76576,1.0172,13169,NA,105.33019,1.01801,12924
"123","Kenya",5.50822,NA,NA,NA,5.33529,NA,NA,NA,5.50904,109.87064,1.00825,1381464,5.41138,NA,NA,NA,5.28021,106.14536,1.00738,NA,5.27134,103.63396,0.99947,NA,5.36267,103.39774,1.0037,NA,5.36668,NA,NA,NA,5.30625,NA,NA,NA,NA,NA,NA,NA
"124","Kiribati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.81853,1.01567,192,NA,106.6352,1.02041,385,NA,107.52303,1.02322,280,NA,104.85785,1.07131,645,NA,NA,NA,NA,NA,NA,NA,NA
"125","Korea, Dem. People’s Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.28146,0.99923,NA,NA,NA,NA,NA
"126","Korea, Rep.",NA,101.76901,1.00092,6960,NA,101.83958,1.0024,9806,NA,100.42587,1.00183,59852,NA,98.10834,1.00088,128360,NA,98.25035,0.99891,113250,NA,98.70651,0.99847,39617,4.3331,97.64139,0.99847,74350,NA,97.96419,0.99754,66235,NA,99.51877,0.99823,25225,NA,NA,NA,NA
"127","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Kuwait",NA,101.207,0.98026,2073,NA,105.49606,0.99762,1139,NA,105.58962,1.01135,1323,NA,105.14894,1.02245,2658,NA,104.91717,1.02143,3108,NA,104.27501,1.03221,4311,NA,102.57234,1.03976,7290,NA,97.34084,1.03327,NA,NA,97.21543,1.10302,NA,NA,94.78166,1.15235,NA
"129","Kyrgyz Republic",5.81883,99.06208,0.99217,15815,6.79062,99.22913,0.99109,16572,7.38423,102.4368,0.98744,6257,6.7802,104.40749,0.9886,1763,5.5316,105.30471,0.99054,1458,5.98551,105.01668,0.99271,1668,6.58615,104.05828,0.98987,1675,6.02619,106.60869,0.99209,1363,NA,107.20635,0.99348,1414,NA,105.38141,0.98777,2574
"130","Lao PDR",1.70979,117.85283,0.91442,40049,1.70802,117.41207,0.92704,41583,1.82147,116.57932,0.93407,41419,3.23381,116.19968,0.94036,27479,2.93781,114.78308,0.94655,25400,NA,111.25946,0.95433,38109,NA,107.08054,0.9549,45232,NA,103.94472,0.9623,57256,NA,100.35734,0.96227,65377,NA,98.25884,0.96552,64860
"131","Late-demographic dividend",NA,101.37892,0.97903,5063460,NA,101.94681,0.98056,4941054,NA,102.93952,0.98779,4588648,NA,101.68054,0.99214,4512045,NA,99.64862,0.99624,4542767,NA,99.72987,0.9954,4445790,NA,101.18965,1.0009,4446324,NA,102.25446,1.00255,4343513,NA,102.88667,1.00445,4002320,NA,104.22774,1.00405,4329887
