"","Country.Name","SI.POV.NAHC_2000","SI.DST.FRST.20_2000","SP.DYN.LE00.IN_2000","SE.ENR.PRSC.FM.ZS_2000","NY.GDP.MKTP.CD_2000","NY.GDP.MKTP.KD.ZG_2000","NY.GDP.PCAP.CD_2000","FP.CPI.TOTL.ZG_2000","SI.POV.NAHC_2001","SI.DST.FRST.20_2001","SP.DYN.LE00.IN_2001","SE.ENR.PRSC.FM.ZS_2001","NY.GDP.MKTP.CD_2001","NY.GDP.MKTP.KD.ZG_2001","NY.GDP.PCAP.CD_2001","FP.CPI.TOTL.ZG_2001","SI.POV.NAHC_2002","SI.DST.FRST.20_2002","SP.DYN.LE00.IN_2002","SE.ENR.PRSC.FM.ZS_2002","NY.GDP.MKTP.CD_2002","NY.GDP.MKTP.KD.ZG_2002","NY.GDP.PCAP.CD_2002","FP.CPI.TOTL.ZG_2002","SI.POV.NAHC_2003","SI.DST.FRST.20_2003","SP.DYN.LE00.IN_2003","SE.ENR.PRSC.FM.ZS_2003","NY.GDP.MKTP.CD_2003","NY.GDP.MKTP.KD.ZG_2003","NY.GDP.PCAP.CD_2003","FP.CPI.TOTL.ZG_2003","SI.POV.NAHC_2004","SI.DST.FRST.20_2004","SP.DYN.LE00.IN_2004","SE.ENR.PRSC.FM.ZS_2004","NY.GDP.MKTP.CD_2004","NY.GDP.MKTP.KD.ZG_2004","NY.GDP.PCAP.CD_2004","FP.CPI.TOTL.ZG_2004","SI.POV.NAHC_2005","SI.DST.FRST.20_2005","SP.DYN.LE00.IN_2005","SE.ENR.PRSC.FM.ZS_2005","NY.GDP.MKTP.CD_2005","NY.GDP.MKTP.KD.ZG_2005","NY.GDP.PCAP.CD_2005","FP.CPI.TOTL.ZG_2005","SI.POV.NAHC_2006","SI.DST.FRST.20_2006","SP.DYN.LE00.IN_2006","SE.ENR.PRSC.FM.ZS_2006","NY.GDP.MKTP.CD_2006","NY.GDP.MKTP.KD.ZG_2006","NY.GDP.PCAP.CD_2006","FP.CPI.TOTL.ZG_2006","SI.POV.NAHC_2007","SI.DST.FRST.20_2007","SP.DYN.LE00.IN_2007","SE.ENR.PRSC.FM.ZS_2007","NY.GDP.MKTP.CD_2007","NY.GDP.MKTP.KD.ZG_2007","NY.GDP.PCAP.CD_2007","FP.CPI.TOTL.ZG_2007","SI.POV.NAHC_2008","SI.DST.FRST.20_2008","SP.DYN.LE00.IN_2008","SE.ENR.PRSC.FM.ZS_2008","NY.GDP.MKTP.CD_2008","NY.GDP.MKTP.KD.ZG_2008","NY.GDP.PCAP.CD_2008","FP.CPI.TOTL.ZG_2008","SI.POV.NAHC_2009","SI.DST.FRST.20_2009","SP.DYN.LE00.IN_2009","SE.ENR.PRSC.FM.ZS_2009","NY.GDP.MKTP.CD_2009","NY.GDP.MKTP.KD.ZG_2009","NY.GDP.PCAP.CD_2009","FP.CPI.TOTL.ZG_2009","SI.POV.NAHC_2010","SI.DST.FRST.20_2010","SP.DYN.LE00.IN_2010","SE.ENR.PRSC.FM.ZS_2010","NY.GDP.MKTP.CD_2010","NY.GDP.MKTP.KD.ZG_2010","NY.GDP.PCAP.CD_2010","FP.CPI.TOTL.ZG_2010","SI.POV.NAHC_2011","SI.DST.FRST.20_2011","SP.DYN.LE00.IN_2011","SE.ENR.PRSC.FM.ZS_2011","NY.GDP.MKTP.CD_2011","NY.GDP.MKTP.KD.ZG_2011","NY.GDP.PCAP.CD_2011","FP.CPI.TOTL.ZG_2011","SI.POV.NAHC_2012","SI.DST.FRST.20_2012","SP.DYN.LE00.IN_2012","SE.ENR.PRSC.FM.ZS_2012","NY.GDP.MKTP.CD_2012","NY.GDP.MKTP.KD.ZG_2012","NY.GDP.PCAP.CD_2012","FP.CPI.TOTL.ZG_2012","SI.POV.NAHC_2013","SI.DST.FRST.20_2013","SP.DYN.LE00.IN_2013","SE.ENR.PRSC.FM.ZS_2013","NY.GDP.MKTP.CD_2013","NY.GDP.MKTP.KD.ZG_2013","NY.GDP.PCAP.CD_2013","FP.CPI.TOTL.ZG_2013","SI.POV.NAHC_2014","SI.DST.FRST.20_2014","SP.DYN.LE00.IN_2014","SE.ENR.PRSC.FM.ZS_2014","NY.GDP.MKTP.CD_2014","NY.GDP.MKTP.KD.ZG_2014","NY.GDP.PCAP.CD_2014","FP.CPI.TOTL.ZG_2014","SI.POV.NAHC_2015","SI.DST.FRST.20_2015","SP.DYN.LE00.IN_2015","SE.ENR.PRSC.FM.ZS_2015","NY.GDP.MKTP.CD_2015","NY.GDP.MKTP.KD.ZG_2015","NY.GDP.PCAP.CD_2015","FP.CPI.TOTL.ZG_2015"
"57","Dominican Republic",NA,3.7,69.429,1.040570021,24305116729,4.661762282,2869.105861,7.724135662,NA,4.1,69.69,NA,25601765403,2.459516364,2977.433818,8.883068488,NA,3.8,69.957,1.070870042,27137508655,4.495103408,3110.32509,5.223367698,NA,3.8,70.227,NA,21403167849,-1.345706185,2418.350422,27.44971274,NA,3.9,70.499,1.025969982,22322395369,2.570134276,2487.329061,51.46085983,NA,4.1,70.771,1.036069989,35777570134,9.428236951,3932.786568,4.190202605,NA,3.9,71.041,NA,37879869898,9.1743554,4109.031363,7.572805239,NA,4.4,71.304,1.034819961,43965420071,7.415951713,4707.792532,6.143566552,NA,4.6,71.559,1.028370023,48122547177,3.209504264,5087.985365,10.6446211,NA,4.5,71.806,0.964269996,48261033297,0.94615517,5039.402596,1.442151318,NA,4.6,72.046,0.972350001,53860175557,8.339651056,5555.389722,6.329932201,NA,4.7,72.284,0.989489973,58029750744,3.133423005,5913.432072,8.459362886,NA,4.9,72.523,0.986469984,60681537195,2.7173679,6110.369652,3.694549458,NA,4.8,72.763,0.988099992,62682163838,4.875205089,6238.133608,4.830950967,NA,5.1,73.003,0.985199988,67179914026,7.05046369,6608.828102,2.998642261,NA,5,73.241,0.98536998,71164825258,6.927018774,6921.517228,0.836746347
"58","Ecuador",NA,3,72.761,1.005749941,18327764882,1.091801564,1445.279324,96.09411369,NA,NA,73.078,1.01030004,24468324000,4.0156299,1894.615169,37.67802094,NA,NA,73.371,1.004860044,28548945000,4.096776659,2172.101877,12.48401857,NA,3.3,73.641,1.007850051,32432858000,2.722877337,2425.851842,7.929410005,NA,3.2,73.887,1.002279997,36591661000,8.211020917,2691.278081,2.742181329,NA,3.2,74.112,1.004590034,41507085000,5.291308267,3002.136867,2.407769783,NA,3.7,74.319,1.005679965,46802044000,4.403526434,3328.882972,3.298748463,36.7,3.5,74.514,1.006649971,51007777000,2.190063972,3567.836438,2.27618478,35.1,3.8,74.705,NA,61762635000,6.3571306,4249.019262,8.40009594,36,4.1,74.895,1.026780009,62519686000,0.566491592,4231.615798,5.159968292,32.8,4.2,75.089,1.021450043,69555367000,3.525298669,4633.590358,3.554377346,28.6,4.4,75.289,1.023509979,79276664000,7.868140919,5200.55579,4.474532658,27.3,4.3,75.495,1.028079987,87924544000,5.641962067,5682.045007,5.10172181,25.6,4.5,75.707,1.023949981,95129659000,4.946511267,6056.330827,2.721775777,22.5,4.8,75.923,1.022670031,1.01726e+11,3.788868549,6377.09153,3.589220166,23.3,4.6,76.143,1.022459984,99290381000,0.098872608,6124.491643,3.966646233
"59","Egypt, Arab Rep.",NA,NA,68.602,0.93283999,99838543960,6.370003834,1450.476242,2.683805353,NA,NA,68.796,0.941929996,96684636119,3.535251969,1378.203403,2.269757205,NA,NA,68.961,NA,85146067416,2.390204028,1191.103255,2.73723855,NA,NA,69.116,0.950519979,80288461538,3.193454739,1102.468275,4.507776363,NA,9,69.271,0.95747,78782467532,4.092071612,1062.158092,11.27061933,NA,NA,69.434,NA,89600665557,4.471744469,1186.393423,4.869396969,NA,NA,69.608,NA,1.07426e+11,6.843838197,1397.436817,7.644526445,NA,NA,69.788,NA,1.30438e+11,7.087827427,1667.317955,9.318969058,NA,9.2,69.971,NA,1.62818e+11,7.156283564,2044.527855,18.31683168,NA,NA,70.159,0.976069987,1.89147e+11,4.6735998,2331.268582,11.76349544,NA,9.4,70.349,0.97122997,2.18984e+11,5.147234859,2645.969047,11.26518827,NA,NA,70.543,0.968879998,2.3599e+11,1.764571949,2791.810799,10.06492599,NA,9.9,70.736,0.985279977,2.79117e+11,2.226199797,3229.68563,7.111729433,NA,NA,70.928,0.985740006,2.88434e+11,2.185466055,3262.658029,9.469719811,NA,NA,71.117,0.996010005,3.05595e+11,2.915911879,3379.55851,10.07021547,27.8,9.1,71.302,NA,3.29367e+11,4.372019079,3562.932735,10.37049034
"60","El Salvador",NA,3.2,68.875,0.950020015,11784927700,1.12605705,2001.538009,2.271287568,NA,3.1,69.162,0.958039999,12282533600,0.877318892,2072.299842,3.750820575,NA,3,69.432,0.951219976,12664190300,1.580862265,2124.102889,1.865525036,NA,2.8,69.68,0.96675998,13243892200,1.562231082,2209.496508,2.120390917,NA,3.7,69.908,0.970359981,13724810900,0.890786052,2278.431843,4.451943924,NA,3.8,70.124,0.972609997,14698001400,2.707467768,2428.569512,4.690948709,NA,4.8,70.333,0.977020025,15999886400,4.342895377,2631.820415,4.037123594,NA,5.2,70.542,1.001170039,17011750900,1.860579145,2786.157922,4.578085724,40,4.6,70.756,0.975920022,17986890000,2.570846686,2933.395675,6.707922935,37.8,4.9,70.978,0.972739995,17601620000,-2.086120492,2858.47963,1.055950297,36.5,5.1,71.21,0.966199994,18447920000,2.105085752,2983.229771,1.179335769,40.6,5.6,71.449,0.962909997,20283790000,3.815356138,3266.012062,5.128923767,34.5,5.7,71.692,0.963469982,21386140000,2.814390129,3428.40718,1.729734816,29.6,5.5,71.935,0.970470011,21990970000,2.235729888,3509.531493,0.757669185,31.8,5.8,72.175,0.977069974,22593480000,1.711223206,3589.042193,1.141344675,34.9,6.1,72.412,0.978330016,23438240000,2.395028298,3705.577946,-0.731384487
"61","Equatorial Guinea",NA,NA,53.279,0.728950024,1045998496,18.21377996,1725.554738,4.802288869,NA,NA,53.581,NA,1461139022,63.37987543,2313.151289,8.825389259,NA,NA,53.84,0.86631,1806742742,19.46283404,2744.208156,7.592478498,NA,NA,54.064,NA,2484745935,13.95525032,3618.576094,7.323543994,NA,NA,54.263,NA,4410764339,37.99872686,6152.131238,4.219687871,NA,NA,54.449,0.906759977,8217369093,16.74870061,10963.28936,5.631633514,76.8,NA,54.638,NA,10086528699,7.704917607,12857.33605,4.415899842,NA,NA,54.842,NA,13071718759,15.28211392,15908.39183,2.803738318,NA,NA,55.07,NA,19749893536,17.79910913,22942.58345,6.551766912,NA,NA,55.329,NA,15027795173,1.343356288,16667.93682,4.691065677,NA,NA,55.622,NA,16314442183,-8.924175889,17288.8596,7.78916548,NA,NA,55.945,NA,21357344847,6.52392363,21641.87052,4.805389222,NA,NA,56.288,NA,22388345810,8.312871844,21711.15323,3.656620483,NA,NA,56.642,NA,21948835350,-4.133198501,20390.71932,2.948876946,NA,NA,57.001,NA,21765454404,0.415066302,19394.02999,4.309998661,NA,NA,57.359,NA,13185496836,-9.110041149,11283.46561,1.676630853
"62","Eritrea",NA,NA,55.273,0.784210026,706370815.6,-3.141985774,308.1337836,NA,NA,NA,55.864,0.789290011,752368495.5,8.75543519,316.82382,NA,NA,NA,56.5,0.753889978,729321366.7,3.005429218,293.9557909,NA,NA,NA,57.191,0.758149981,870247703.2,-2.655515842,334.5854429,NA,NA,NA,57.932,0.717540026,1109054005,1.451735534,407.7699765,NA,NA,NA,58.707,0.727840006,1098425901,2.57444953,388.5951226,NA,NA,NA,59.487,0.730620027,1211161880,-0.969216929,415.0365994,NA,NA,NA,60.243,0.78798002,1317974491,1.42682206,439.8326905,NA,NA,NA,60.952,0.781939983,1380188800,-9.783030037,450.6328403,NA,NA,NA,61.602,0.782760024,1856695551,3.87650156,595.1099872,NA,NA,NA,62.193,0.809469998,1589515447,2.194190545,501.3556333,NA,NA,NA,62.732,0.814059973,2065001626,8.679799936,642.5076591,NA,NA,NA,63.238,0.818639994,NA,NA,NA,NA,NA,NA,63.726,0.936249971,NA,NA,NA,NA,NA,NA,64.201,0.836189985,NA,NA,NA,NA,NA,NA,64.664,0.855459988,NA,NA,NA,NA
"63","Estonia",NA,NA,70.41707317,1.023290038,5694069842,10.1065183,4075.970639,4.018489525,NA,NA,70.25853659,1.017940044,6259257900,5.979598309,4509.178202,5.748279817,NA,NA,70.90487805,1.017740011,7372457380,6.802396898,5344.877935,3.571912702,NA,6.1,71.31707317,1.023499966,9877636631,7.566690082,7206.166562,1.334991165,18.3,7.1,71.9097561,1.017099977,12144397516,6.767455716,8912.992195,3.048111075,18.3,7.4,72.56829268,1.010280013,14098326079,9.490297336,10406.39669,4.079714232,19.4,7.5,72.69146341,1.014490008,17012322168,9.718759747,12631.56805,4.437620424,19.5,8,72.81463415,1.014610052,22445583082,7.573580076,16741.93923,6.601326031,19.7,7.8,73.77073171,1.013090014,24371299253,-5.088942901,18227.11953,10.36235803,15.8,7.7,74.82439024,1.005499959,19744110864,-14.43386732,14794.9711,-0.078408311,17.5,7.2,75.42926829,0.99397999,19693608289,2.690328399,14790.82092,2.97204512,17.5,7.3,76.22926829,0.991479993,23391530006,7.443936104,17621.54796,4.981901315,18.6,7.3,76.32682927,0.99229002,23192708982,3.124846373,17534.42135,3.933399873,21.8,6.8,77.14146341,0.9921,25271406708,1.346184732,19174.10033,2.78056659,21.6,7,77.03414634,0.993910015,26773473625,2.987324825,20367.10316,-0.106175147,21.7,7.5,77.5902439,0.997789979,23048864243,1.844886677,17522.23019,-0.492326007
"64","Ethiopia",NA,NA,51.941,0.657270014,8242392104,6.07321748,124.4608003,0.662458109,NA,NA,52.595,0.687569976,8231326016,8.301306321,120.765782,-8.237844534,NA,NA,53.349,0.697749972,7850809498,1.514725706,111.9272235,1.653729328,NA,NA,54.211,0.699890018,8623691300,-2.161359722,119.490391,17.7622842,38.7,9.4,55.174,0.735090017,10131187261,13.57260314,136.4662556,3.256272907,NA,NA,56.223,0.782710016,12401139454,11.81876595,162.4327265,12.94487921,NA,NA,57.334,0.814249992,15280861835,10.83472707,194.6874305,12.31,NA,NA,58.467,0.836409986,19707616773,11.456167,244.2860372,17.23800196,NA,NA,59.581,0.862770021,27066912635,10.78852169,326.4368267,44.39128123,NA,NA,60.645,0.892180026,32437389116,8.802553198,380.5690479,8.468335788,29.6,8,61.627,0.901250005,29933790334,12.55053835,341.5541149,8.136941131,NA,NA,62.505,0.912249982,31952763089,11.17829623,354.4795758,32.01478882,NA,NA,63.281,0.922720015,43310721414,8.647811633,467.0779272,23.37858236,NA,NA,63.961,NA,47648211133,10.58227005,499.5315721,7.464021929,NA,NA,64.547,NA,55612228234,10.25749296,566.9264665,6.890019516,23.5,7.3,65.048,0.921459973,64589334979,10.39246302,640.5418913,9.56889956
"65","Faroe Islands",NA,NA,78.43414634,NA,1058702725,NA,22653.31605,NA,NA,NA,78.63658537,NA,1147654635,NA,24419.74244,NA,NA,NA,78.78780488,NA,1262669892,NA,26732.79047,NA,NA,NA,78.9902439,NA,1494011567,NA,31497.96692,NA,NA,NA,79.1902439,NA,1688237552,NA,35467.17547,NA,NA,NA,79.44146341,NA,1727792693,NA,36205.37054,NA,NA,NA,79.6902439,NA,1984445416,NA,41522.54386,NA,NA,NA,79.8902439,NA,2290133549,NA,47885.69888,NA,NA,NA,80.13902439,NA,2432415998,NA,50866.0811,NA,NA,NA,80.38780488,NA,2268387771,NA,47447.87004,NA,NA,NA,80.58780488,NA,2320424601,NA,48530.23385,NA,NA,NA,80.83902439,NA,2490807831,NA,52083.88914,NA,NA,NA,81.0902439,NA,2366301252,NA,49459.71723,NA,NA,NA,81.34146341,NA,2627049837,NA,54853.6256,NA,NA,NA,81.59268293,NA,2850743875,NA,59440.03076,NA,NA,NA,81.79512195,NA,2518096286,NA,52404.65933,NA
"66","Fiji",NA,NA,65.687,1.031090021,1684109743,-1.699998416,2076.568784,1.0921646,NA,NA,65.863,1.027840018,1660102346,2.000000147,2039.625697,4.272670245,39.8,6.7,66.022,1.038490057,1842691481,3.199999114,2260.258398,0.762032086,NA,NA,66.152,1.030740023,2315935753,0.999999345,2837.892246,4.172747778,NA,NA,66.247,1.022819996,2727507213,5.299999705,3334.931667,2.827485194,NA,NA,66.313,NA,3006725015,0.700000402,3659.579329,2.365764538,NA,NA,66.362,1.039229989,3102741451,1.852483872,3747.860716,2.490836388,NA,NA,66.413,1.044559956,3405050612,-0.85065431,4072.10157,4.803706413,35.2,6.6,66.477,1.031340003,3523185920,1.03279422,4167.670285,7.732278579,NA,NA,66.559,1.037070036,2870624636,-1.386037708,3362.816555,3.13103559,NA,NA,66.655,NA,3140508836,2.954672422,3652.527437,3.689012297,NA,NA,66.759,1.036430001,3774530616,2.705143029,4371.45751,7.278117827,NA,NA,66.859,1.048570037,3972012571,1.411314382,4591.555784,3.423375234,34,7.5,66.95,NA,4190143206,4.73421949,4840.693716,2.913541936,NA,NA,67.03,NA,4856963252,5.603141161,5605.570356,0.519306475,NA,NA,67.103,NA,4682546881,4.502018108,5390.745258,1.374885426
"67","Finland",NA,9.6,77.46585366,1.048419952,1.25707e+11,5.773362458,24285.46682,3.042100807,NA,NA,77.96585366,1.054469943,1.29421e+11,2.610019124,24946.18919,2.578440801,NA,NA,78.1195122,1.056599975,1.39738e+11,1.707148962,26869.6749,1.571220128,NA,9.4,78.36829268,1.052710056,1.71274e+11,2.003784203,32855.13263,0.877440386,11.7,9.4,78.71463415,1.020230055,1.97117e+11,3.99209129,37702.84538,0.187120559,12.6,9.5,78.81707317,1.020059943,2.04809e+11,2.779850556,39040.28888,0.62387445,13,9.2,79.21463415,1.020630002,2.16908e+11,4.027409658,41188.0937,1.566663807,13.6,9.2,79.26341463,1.022250056,2.56053e+11,5.299336507,48414.84509,2.510665652,13.8,9.3,79.56829268,1.022400022,2.84554e+11,0.783995061,53554.03892,4.065953554,13.1,9.3,79.7195122,1.023569942,2.52497e+11,-8.074447432,47293.99283,-9.17e-07,13.7,9.2,79.87073171,1.022480011,2.49181e+11,3.185958654,46459.97325,1.184135232,13.2,9.3,80.47073171,1.021090031,2.75244e+11,2.547664838,51081.99767,3.416807543,11.8,9.4,80.62682927,1.021880031,2.58305e+11,-1.397545728,47710.79022,2.808336226,12.8,9.3,80.97560976,1.054319978,2.71285e+11,-0.901696316,49878.04324,1.478286157,12.4,9.4,81.1804878,1.056759953,2.74497e+11,-0.364908157,50260.29986,1.041196212,11.6,9.4,81.4804878,1.057180047,2.3444e+11,0.543659212,42784.69836,-0.20792884
"68","France",NA,8.2,79.05609756,0.996110022,1.36225e+12,3.923669227,22364.02939,1.675959887,NA,NA,79.15853659,0.997730017,1.37647e+12,1.983721419,22433.55571,1.634780795,NA,NA,79.26097561,0.999239981,1.49429e+12,1.135531482,24177.33517,1.923412287,NA,8.2,79.11463415,1.002419949,1.84048e+12,0.823160757,29568.38595,2.098472191,13,8.4,80.16341463,1.001489997,2.11574e+12,2.829752929,33741.26515,2.142089646,13.2,8.6,80.16341463,0.998440027,2.19613e+12,1.66321998,34760.18777,1.745869364,13.1,8.5,80.81219512,0.995469987,2.31859e+12,2.449323601,36443.62344,1.675124496,12.5,8.1,81.11219512,0.997829974,2.65721e+12,2.424736243,41508.43399,1.48799806,12.9,7.9,81.21463415,0.997569978,2.91838e+12,0.25494596,45334.11444,2.812861949,13.3,7.7,81.41463415,0.998329997,2.69022e+12,-2.873313828,41575.41875,0.087620478,14,7.7,81.66341463,1.00079,2.64261e+12,1.949437623,40638.334,1.531122704,14.1,7.8,82.11463415,1.003250003,2.86141e+12,2.192700633,43790.73205,2.111597952,13.7,7.8,81.96829268,1.00304997,2.68383e+12,0.313134751,40874.70351,1.954195316,13.3,8,82.2195122,1.005679965,2.81108e+12,0.576326675,42592.93409,0.863715498,13.6,8,82.7195122,1.006850004,2.85217e+12,0.956183052,43011.2631,0.507758823,13.6,7.9,82.32195122,1.003419995,2.43821e+12,1.112912341,36638.18493,0.037514381
"69","French Polynesia",NA,NA,72.303,NA,3447543138,4.000000343,14323.82082,NA,NA,NA,72.658,NA,NA,NA,NA,NA,NA,NA,73.017,NA,NA,NA,NA,NA,NA,NA,73.382,NA,NA,NA,NA,NA,NA,NA,73.751,NA,NA,NA,NA,NA,NA,NA,74.116,NA,NA,NA,NA,NA,NA,NA,74.466,NA,NA,NA,NA,NA,NA,NA,74.793,NA,NA,NA,NA,NA,NA,NA,75.092,NA,NA,NA,NA,NA,NA,NA,75.363,NA,NA,NA,NA,NA,NA,NA,75.611,NA,NA,NA,NA,NA,NA,NA,75.844,NA,NA,NA,NA,NA,NA,NA,76.074,NA,NA,NA,NA,NA,NA,NA,76.307,NA,NA,NA,NA,NA,NA,NA,76.546,NA,NA,NA,NA,NA,NA,NA,76.787,NA,NA,NA,NA,NA
"70","Gabon",NA,NA,58.264,NA,5067865321,-1.882966398,4125.716664,0.504920026,NA,NA,57.968,NA,5023265365,2.135233422,3993.047207,2.137620527,NA,NA,57.791,NA,5335451308,-0.249033169,4141.418293,0.036682889,NA,NA,57.759,NA,6511903657,2.247330012,4933.436007,2.235353136,NA,NA,57.885,NA,7770219480,0.689543058,5739.583526,0.408205307,32.7,5.8,58.181,NA,9582783318,2.676203333,6891.366876,3.708333333,NA,NA,58.641,NA,10327598801,-2.806578356,7221.329482,-1.409401366,NA,NA,59.229,NA,12455410056,6.008108025,8458.25174,5.030318837,NA,NA,59.904,NA,15571349776,-3.308430649,10254.15845,5.264301456,NA,NA,60.637,NA,12113699661,0.13033112,7721.004189,1.885707546,NA,NA,61.4,NA,14372591916,7.089887315,8849.3553,1.461544027,NA,NA,62.168,NA,18210308748,7.091753343,10809.64645,1.263317078,NA,NA,62.924,NA,17170465294,5.251076918,9813.477703,2.652418287,NA,NA,63.648,NA,17595745653,5.638699003,9683.57629,0.505441059,NA,NA,64.318,NA,18203968002,4.314964441,9663.42924,4.690457518,NA,NA,64.913,NA,14383107714,3.878899395,7384.71587,-0.338795189
"71","Gambia, The",NA,NA,55.956,NA,782915402.4,5.500000216,594.151643,0.844969567,NA,NA,56.359,NA,687408804.6,5.800000243,505.4201497,4.492596092,NA,NA,56.761,NA,578236035.1,-3.25000015,411.7724804,8.609124744,NA,4.8,57.159,NA,487038821.6,6.869999622,335.906217,17.03286654,NA,NA,57.553,NA,961900106.9,7.050000001,642.7549298,14.20674328,NA,NA,57.939,NA,1027702254,-2.351729362,665.7219407,4.838621775,NA,NA,58.313,NA,1054113427,-0.555580977,662.362461,2.056503424,NA,NA,58.671,NA,1279704745,3.043249508,780.3800991,5.369134738,NA,NA,59.012,1.018339992,1561763437,6.255905534,924.5115164,4.443654909,NA,NA,59.334,1.014809966,1450140386,6.665724308,833.2804027,4.561506877,48.1,5.7,59.637,1.001129985,1543292393,5.90833581,860.6378737,5.049680759,NA,NA,59.917,NA,1409694554,-8.130444223,762.7610541,4.795882662,NA,NA,60.178,NA,1415006238,5.241569246,742.7811378,4.254321998,NA,NA,60.426,NA,1375608956,2.87276879,700.514972,5.699129896,NA,NA,60.667,NA,1229460602,-1.407382495,607.4284041,5.947999357,48.6,7.4,60.91,NA,1378176868,4.058073804,660.7235712,6.808454946
"72","Georgia",NA,5.4,69.902,1.024690032,3057475289,1.838341066,749.9085236,4.063962014,NA,5.8,70.065,1.051370025,3219488664,4.805453273,801.9904139,4.646044421,NA,6.3,70.22,1.04945004,3395728014,5.473836801,853.5164537,5.5878373,NA,6.3,70.349,1.041100025,3991284895,11.05872319,1010.00798,0.837734532,34.3,6.2,70.451,1.039579988,5125365192,5.794496346,1305.047486,5.656326362,35.4,6.2,70.538,1.039530039,6410823633,9.589574062,1642.760938,8.247090431,36.9,6.3,70.635,1.076470017,7745394293,9.419770648,1996.057129,9.160965084,38.8,6.2,70.765,NA,10172882371,12.57895343,2635.353882,9.244897456,34.9,6.1,70.946,1.019889951,12795076469,2.418571659,3324.735879,9.999487616,34.9,6.1,71.18,NA,10766836277,-3.650513631,2822.66743,1.727514611,37.3,5.7,71.46,NA,12243505583,6.249487768,3233.295943,7.110178975,34.1,5.6,71.773,NA,15107441447,7.399999867,4021.743306,8.542933333,30,5.9,72.097,NA,16488403076,6.369008306,4421.818242,-0.943658853,26.2,6.1,72.412,1.008100033,17189551521,3.621305352,4623.745725,-0.512058411,23.5,6.4,72.707,1.01177001,17627003455,4.431924823,4739.188338,3.068812104,21.6,6.7,72.973,1.014359951,14953950557,3.02220738,4014.185944,4.003578207
"73","Germany",NA,8.8,77.92682927,0.982500017,1.94315e+12,2.912502964,23635.92922,1.440268187,NA,8.6,78.32926829,0.983269989,1.94411e+12,1.681468481,23607.88286,1.983856936,NA,8.6,78.22926829,0.982129991,2.06862e+12,-0.197973835,25077.72908,1.420805605,NA,8.6,78.3804878,0.980069995,2.49613e+12,-0.700116686,30243.57653,1.034227766,NA,8.5,78.6804878,0.980449975,2.80919e+12,1.175088132,34044.05363,1.665733409,12.5,8.1,78.93170732,0.980390012,2.8458e+12,0.731707164,34507.36881,1.546909652,15.2,8.3,79.13170732,0.978070021,2.9922e+12,3.816441913,36323.44774,1.577428259,15.2,8.3,79.53414634,0.980080009,3.42123e+12,2.976455131,41587.2129,2.298341797,15.5,8.4,79.73658537,0.978049994,3.73003e+12,0.959879134,45427.15168,2.628381749,15.6,8.3,79.83658537,0.960330009,3.39779e+12,-5.693836336,41485.90165,0.31273763,15.8,8.4,79.98780488,0.961250007,3.39635e+12,4.179882499,41531.9342,1.103809161,16.1,8.5,80.43658537,0.960009992,3.74441e+12,3.925192705,46644.77603,2.075174525,16.1,NA,80.53902439,0.961369991,3.52734e+12,0.418497594,43858.36306,2.008490922,16.7,8.2,80.4902439,0.964460015,3.73274e+12,0.437591303,46285.76407,1.50472098,16.7,NA,81.0902439,0.965309978,3.88392e+12,2.209543431,47959.99327,0.906797949,16.5,7.8,80.64146341,0.966109991,3.35624e+12,1.491931528,41086.72967,0.51442054
"74","Ghana",NA,NA,57.002,0.895910025,4983024408,3.70000004,258.4709595,25.19321937,NA,NA,57.158,0.910210013,5314909954,4.000000099,269.0149984,32.9054089,NA,NA,57.425,0.912970006,6166330136,4.499999578,304.5645608,14.81624006,NA,NA,57.785,0.915970027,7632406553,5.200000074,367.8215216,26.67494973,NA,NA,58.225,0.906120002,8881368538,5.599999989,417.5081649,12.62457406,31.9,5.2,58.719,0.91940999,10744675210,5.900003916,492.5441916,15.11818572,NA,NA,59.234,0.938839972,20440893017,6.399912502,913.3939309,10.91516997,NA,NA,59.741,0.948660016,24827844950,4.346819164,1081.166318,10.73272807,NA,NA,60.216,0.952310026,28678701891,9.149798975,1217.064797,16.52214331,NA,NA,60.645,0.950110018,26048108185,4.844486998,1077.662192,19.25071443,NA,NA,61.03,NA,32197272797,7.899711889,1299.344949,10.70756812,NA,NA,61.381,0.958329976,39337314810,14.04712363,1549.462902,8.726836831,24.2,5.4,61.72,0.963100016,41270954737,9.292789405,1587.561237,7.12635006,NA,NA,62.064,0.967050016,62405374786,7.312525007,2345.392906,11.66619231,NA,NA,62.416,0.978120029,53660342160,2.897438837,1971.033347,15.48961603,NA,NA,62.772,0.981519997,48564863888,2.178206744,1743.850996,17.1499695
