series,timestamp,value,label
E,2021-05-17T10:55:10.000Z,108.63172912597656,
A,2021-05-17T10:55:20.000Z,3950.8056640625,
B,2021-05-17T10:55:20.000Z,156.7642059326172,
C,2021-05-17T10:55:20.000Z,111.2007827758789,
D,2021-05-17T10:55:20.000Z,120.09109497070312,
E,2021-05-17T10:55:20.000Z,108.63172912597656,
A,2021-05-17T10:55:30.000Z,3902.084716796875,
B,2021-05-17T10:55:30.000Z,156.82882690429688,
C,2021-05-17T10:55:30.000Z,110.6265869140625,
D,2021-05-17T10:55:30.000Z,120.04845428466797,
E,2021-05-17T10:55:30.000Z,109.03449249267578,
A,2021-05-17T10:55:40.000Z,3902.084716796875,
B,2021-05-17T10:55:40.000Z,156.82882690429688,
C,2021-05-17T10:55:40.000Z,110.6265869140625,
D,2021-05-17T10:55:40.000Z,120.04845428466797,
E,2021-05-17T10:55:40.000Z,109.03449249267578,
A,2021-05-17T10:55:50.000Z,3902.084716796875,
B,2021-05-17T10:55:50.000Z,156.82882690429688,
C,2021-05-17T10:55:50.000Z,110.6265869140625,
D,2021-05-17T10:55:50.000Z,120.04845428466797,
E,2021-05-17T10:55:50.000Z,109.03449249267578,
A,2021-05-17T10:56:00.000Z,3509.4736328125,
B,2021-05-17T10:56:00.000Z,156.91494750976562,
C,2021-05-17T10:56:00.000Z,110.32879638671875,
D,2021-05-17T10:56:00.000Z,120.00577545166016,
E,2021-05-17T10:56:00.000Z,109.43732452392578,
A,2021-05-17T10:56:10.000Z,3509.4736328125,
B,2021-05-17T10:56:10.000Z,156.91494750976562,
C,2021-05-17T10:56:10.000Z,110.32879638671875,
D,2021-05-17T10:56:10.000Z,120.00577545166016,
E,2021-05-17T10:56:10.000Z,109.43732452392578,
A,2021-05-17T10:56:20.000Z,3509.4736328125,
B,2021-05-17T10:56:20.000Z,156.91494750976562,
C,2021-05-17T10:56:20.000Z,110.32879638671875,
D,2021-05-17T10:56:20.000Z,120.00577545166016,
E,2021-05-17T10:56:20.000Z,109.43732452392578,
A,2021-05-17T10:56:30.000Z,3730.7490234375,
B,2021-05-17T10:56:30.000Z,156.74270629882812,
C,2021-05-17T10:56:30.000Z,110.71163177490234,
D,2021-05-17T10:56:30.000Z,119.92064666748047,
E,2021-05-17T10:56:30.000Z,109.75531005859375,
A,2021-05-17T10:56:40.000Z,3730.7490234375,
B,2021-05-17T10:56:40.000Z,156.74270629882812,
C,2021-05-17T10:56:40.000Z,110.71163177490234,
D,2021-05-17T10:56:40.000Z,119.92064666748047,
E,2021-05-17T10:56:40.000Z,109.75531005859375,
A,2021-05-17T10:56:50.000Z,3730.7490234375,
B,2021-05-17T10:56:50.000Z,156.74270629882812,
C,2021-05-17T10:56:50.000Z,110.71163177490234,
D,2021-05-17T10:56:50.000Z,119.92064666748047,
E,2021-05-17T10:56:50.000Z,109.75531005859375,
A,2021-05-17T10:57:00.000Z,3809.920654296875,
B,2021-05-17T10:57:00.000Z,156.72116088867188,
C,2021-05-17T10:57:00.000Z,110.71163177490234,
D,2021-05-17T10:57:00.000Z,119.70800018310547,
E,2021-05-17T10:57:00.000Z,109.988525390625,
A,2021-05-17T10:57:10.000Z,3809.920654296875,
B,2021-05-17T10:57:10.000Z,156.72116088867188,
C,2021-05-17T10:57:10.000Z,110.71163177490234,
D,2021-05-17T10:57:10.000Z,119.70800018310547,
E,2021-05-17T10:57:10.000Z,109.988525390625,
A,2021-05-17T10:57:20.000Z,3809.920654296875,
B,2021-05-17T10:57:20.000Z,156.72116088867188,
C,2021-05-17T10:57:20.000Z,110.71163177490234,
D,2021-05-17T10:57:20.000Z,119.70800018310547,
E,2021-05-17T10:57:20.000Z,109.988525390625,
A,2021-05-17T10:57:30.000Z,3904.9267578125,
B,2021-05-17T10:57:30.000Z,156.89344787597656,
C,2021-05-17T10:57:30.000Z,110.39263153076172,
D,2021-05-17T10:57:30.000Z,119.55912780761719,
E,2021-05-17T10:57:30.000Z,110.2011947631836,
A,2021-05-17T10:57:40.000Z,3904.9267578125,
B,2021-05-17T10:57:40.000Z,156.89344787597656,
C,2021-05-17T10:57:40.000Z,110.39263153076172,
D,2021-05-17T10:57:40.000Z,119.55912780761719,
E,2021-05-17T10:57:40.000Z,110.2011947631836,
A,2021-05-17T10:57:50.000Z,3904.9267578125,
B,2021-05-17T10:57:50.000Z,156.89344787597656,
C,2021-05-17T10:57:50.000Z,110.39263153076172,
D,2021-05-17T10:57:50.000Z,119.55912780761719,
E,2021-05-17T10:57:50.000Z,110.2011947631836,
A,2021-05-17T10:58:00.000Z,3902.084716796875,
B,2021-05-17T10:58:00.000Z,157.25942993164062,
C,2021-05-17T10:58:00.000Z,109.77651977539062,
D,2021-05-17T10:58:00.000Z,119.49532318115234,
E,2021-05-17T10:58:00.000Z,110.4563980102539,
A,2021-05-17T10:58:10.000Z,3902.084716796875,
B,2021-05-17T10:58:10.000Z,157.25942993164062,
C,2021-05-17T10:58:10.000Z,109.77651977539062,
D,2021-05-17T10:58:10.000Z,119.49532318115234,
E,2021-05-17T10:58:10.000Z,110.4563980102539,
A,2021-05-17T10:58:20.000Z,3902.084716796875,
B,2021-05-17T10:58:20.000Z,157.25942993164062,
C,2021-05-17T10:58:20.000Z,109.77651977539062,
D,2021-05-17T10:58:20.000Z,119.49532318115234,
E,2021-05-17T10:58:20.000Z,110.4563980102539,
A,2021-05-17T10:58:30.000Z,3729.124755859375,
B,2021-05-17T10:58:30.000Z,157.5823974609375,
C,2021-05-17T10:58:30.000Z,109.18292999267578,
D,2021-05-17T10:58:30.000Z,119.5166015625,
E,2021-05-17T10:58:30.000Z,110.71163177490234,
A,2021-05-17T10:58:40.000Z,3729.124755859375,
B,2021-05-17T10:58:40.000Z,157.5823974609375,
C,2021-05-17T10:58:40.000Z,109.18292999267578,
D,2021-05-17T10:58:40.000Z,119.5166015625,
E,2021-05-17T10:58:40.000Z,110.71163177490234,
A,2021-05-17T10:58:50.000Z,3729.124755859375,
B,2021-05-17T10:58:50.000Z,157.5823974609375,
C,2021-05-17T10:58:50.000Z,109.18292999267578,
D,2021-05-17T10:58:50.000Z,119.5166015625,
E,2021-05-17T10:58:50.000Z,110.71163177490234,
A,2021-05-17T10:59:00.000Z,3677.5615234375,
B,2021-05-17T10:59:00.000Z,157.79766845703125,
C,2021-05-17T10:59:00.000Z,108.71650695800781,
D,2021-05-17T10:59:00.000Z,119.53787994384766,
E,2021-05-17T10:59:00.000Z,110.94558715820312,
A,2021-05-17T10:59:10.000Z,3677.5615234375,
B,2021-05-17T10:59:10.000Z,157.79766845703125,
C,2021-05-17T10:59:10.000Z,108.71650695800781,
D,2021-05-17T10:59:10.000Z,119.53787994384766,
E,2021-05-17T10:59:10.000Z,110.94558715820312,
A,2021-05-17T10:59:20.000Z,3677.5615234375,
B,2021-05-17T10:59:20.000Z,157.79766845703125,
C,2021-05-17T10:59:20.000Z,108.71650695800781,
D,2021-05-17T10:59:20.000Z,119.53787994384766,
E,2021-05-17T10:59:20.000Z,110.94558715820312,
A,2021-05-17T10:59:30.000Z,3501.759765625,
B,2021-05-17T10:59:30.000Z,157.90536499023438,
